"","stock.id","species","stock.name","lat","lon","begin","end","total.years","used.years","median.spawners","range.spawners","median.recruits","range.recruits","source","comments","stock.id.new"
"1",158,"Sockeye","Alagnak-Sockeye","58.85","-158.5",1955,2017,63,0,NA,NA,NA,NA,"Curry Cunningham, 2016, University of Alaska/University of Washington","Poor quality data, suggest do not use",1
"2",125,"Sockeye","Atnarko-Sockeye","52.38","-126.78",1987,2011,25,25,20000,54100,23413,90047,NA,NA,2
"3",145,"Sockeye","Ayakulik-Sockeye","57.2","-154.54",1963,2016,54,45,261913,740465,449567,1747353,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,3
"4",154,"Sockeye","Bear-Sockeye","56.16","-160.45",1980,2016,37,30,144138.5,182511,503795,1073960,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner","Late run",4
"5",115,"Sockeye","Birkenhead-Sockeye","49.12","-123.06",1948,2015,68,61,26202,192386,244678,1803104,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,5
"6",151,"Sockeye","Black Lake-Sockeye","56.28","-158.64",1922,2016,95,46,394071.96975,462272.8943,1232193,3107105,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner","Chignik River Early Run",6
"7",103,"Sockeye","Bowron-Sockeye","49.12","-123.06",1948,2015,68,62,2930,15903,20832.5,213535,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,7
"8",152,"Sockeye","Chignik Lake-Sockeye","56.28","-158.64",1922,2016,95,46,272939.5,437222.3431,1018289.5,1929970,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner","Chignik River Late Run",8
"9",111,"Sockeye","Chilko-Sockeye","49.12","-123.06",1948,2015,68,62,161011,1174985,1222795,5028451,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)","Lake fertilization occurred in 1987 and 1989-1992",9
"10",131,"Sockeye","Chilkoot-Sockeye","58.92","-135.23",1971,2016,46,36,72167.5,95861,161715,408301,"Rich Brenner, 2017, ADF&G, Juneau, AK",NA,10
"11",139,"Sockeye","Coghill-Sockeye","61.06","-147.94",1962,2014,53,47,35200,179999,114126,1241636,"Rich Brenner, 2017, ADF&G, Juneau, AK","Returns are harvested in various districts prior to the Coghill District. Stock-of-origin is estimated based on the timing and location of harvest and, sometimes, from available scale pattern analysis.",11
